Brandstof omschrijving,maand_jaar,Kenteken,Datum_tenaamstelling
LPG,2019-10,883,883
LPG,2019-11,888,888
LPG,2019-12,791,791
LPG,2020-01,939,939
LPG,2020-02,949,949
LPG,2020-03,848,848
LPG,2020-04,785,785
LPG,2020-05,1046,1046
LPG,2020-06,1142,1142
LPG,2020-07,1266,1266
LPG,2020-08,1190,1190
LPG,2020-09,1204,1204
LPG,2020-10,1299,1299
LPG,2020-11,1102,1102
LPG,2020-12,1147,1147
LPG,2021-01,1183,1183
LPG,2021-02,1079,1079
LPG,2021-03,1311,1311
LPG,2021-04,1317,1317
LPG,2021-05,1398,1398
LPG,2021-06,1494,1494
LPG,2021-07,1618,1618
LPG,2021-08,1324,1324
LPG,2021-09,1495,1495
LPG,2021-10,1836,1836
LPG,2021-11,2255,2255
LPG,2021-12,3538,3538
LPG,2022-01,2179,2179
LPG,2022-02,1841,1841
LPG,2022-03,1796,1796
LPG,2022-04,1379,1379
LPG,2022-05,1470,1470
LPG,2022-06,1800,1800
LPG,2022-07,1599,1599
LPG,2022-08,1481,1481
LPG,2022-09,1567,1567
LPG,2022-10,1724,1724
LPG,2022-11,1900,1900
LPG,2022-12,1818,1818
LPG,2023-01,1983,1983
LPG,2023-02,1776,1776
LPG,2023-03,2086,2086
LPG,2023-04,1967,1967
LPG,2023-05,2269,2269
LPG,2023-06,2699,2699
LPG,2023-07,2767,2767
LPG,2023-08,2735,2735
LPG,2023-09,3343,3343
LPG,2023-10,964,964
Waterstof,2014-09,1,1
Waterstof,2015-01,1,1
Waterstof,2015-03,3,3
Waterstof,2016-08,1,1
Waterstof,2016-10,1,1
Waterstof,2016-12,1,1
Waterstof,2017-01,1,1
Waterstof,2017-03,1,1
Waterstof,2017-06,1,1
Waterstof,2017-07,1,1
Waterstof,2017-09,1,1
Waterstof,2017-11,1,1
Waterstof,2017-12,2,2
Waterstof,2018-05,1,1
Waterstof,2018-09,1,1
Waterstof,2018-10,4,4
Waterstof,2018-11,1,1
Waterstof,2019-01,2,2
Waterstof,2019-02,4,4
Waterstof,2019-03,9,9
Waterstof,2019-04,5,5
Waterstof,2019-05,5,5
Waterstof,2019-06,7,7
Waterstof,2019-07,9,9
Waterstof,2019-08,9,9
Waterstof,2019-09,9,9
Waterstof,2019-10,7,7
Waterstof,2019-11,4,4
Waterstof,2019-12,24,24
Waterstof,2020-01,15,15
Waterstof,2020-02,5,5
Waterstof,2020-03,12,12
Waterstof,2020-04,5,5
Waterstof,2020-05,5,5
Waterstof,2020-06,11,11
Waterstof,2020-07,13,13
Waterstof,2020-08,10,10
Waterstof,2020-09,16,16
Waterstof,2020-10,11,11
Waterstof,2020-11,15,15
Waterstof,2020-12,34,34
Waterstof,2021-01,4,4
Waterstof,2021-02,4,4
Waterstof,2021-03,31,31
Waterstof,2021-04,8,8
Waterstof,2021-05,12,12
Waterstof,2021-06,18,18
Waterstof,2021-07,17,17
Waterstof,2021-08,9,9
Waterstof,2021-09,15,15
Waterstof,2021-10,24,24
Waterstof,2021-11,25,25
Waterstof,2021-12,62,62
Waterstof,2022-01,71,71
Waterstof,2022-02,11,11
Waterstof,2022-03,13,13
Waterstof,2022-04,16,16
Waterstof,2022-05,20,20
Waterstof,2022-06,51,51
Waterstof,2022-07,5,5
Waterstof,2022-08,7,7
Waterstof,2022-09,9,9
Waterstof,2022-10,9,9
Waterstof,2022-11,15,15
Waterstof,2022-12,19,19
Waterstof,2023-01,22,22
Waterstof,2023-02,10,10
Waterstof,2023-03,8,8
Waterstof,2023-04,15,15
Waterstof,2023-05,23,23
Waterstof,2023-06,13,13
Waterstof,2023-07,38,38
Waterstof,2023-08,13,13
Waterstof,2023-09,23,23
Waterstof,2023-10,2,2
